City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,kaa-khem,51.6833,94.7333,26.32000000000005,34,100,1.24,RU,1689824044
221,kotlas,61.2611,46.6556,17.450000000000045,94,100,2.28,RU,1689824045
222,debre birhan,9.6833,39.5333,11.410000000000025,87,100,1.37,ET,1689824045
223,nazarovo,56.0064,90.3914,24.05000000000001,47,0,5.07,RU,1689824045
224,bengkulu,-3.8004,102.2655,26.160000000000025,81,100,2.06,ID,1689824045
225,opuwo,-18.0607,13.84,11.550000000000011,22,0,2.06,NA,1689824046
226,colombo,6.9319,79.8478,28.970000000000027,81,67,6.18,LK,1689823806
227,colonia,50.9333,6.95,16.360000000000014,84,20,2.57,DE,1689824008
228,homer,59.6425,-151.5483,14.330000000000041,91,100,0.89,US,1689824046
229,al wafrah,28.6392,47.9306,35.99000000000001,9,0,4.2,KW,1689824046
230,illizi,26.4833,8.4667,25.890000000000043,22,0,1.7,DZ,1689824046
231,acarau,-2.8856,-40.12,25.450000000000045,82,13,6.47,BR,1689824047
232,las tablas,7.7667,-80.2833,27.100000000000023,84,8,5.19,PA,1689824047
233,petropavlovsk-kamchatsky,53.0452,158.6483,16.33000000000004,77,75,6.0,RU,1689824048
234,koh kong,11.6175,102.9806,26.78000000000003,81,100,5.15,KH,1689824048
235,tsetserleg,47.475,101.4542,19.060000000000002,52,0,0.79,MN,1689824048
236,east london,-33.0153,27.9116,9.520000000000039,81,40,4.63,ZA,1689824048
237,glace bay,46.1969,-59.957,21.55000000000001,97,100,2.06,CA,1689823947
238,badiyah,22.45,58.8,31.650000000000034,48,62,3.28,OM,1689824049
239,bardai,11.65,7.2333,22.25,85,82,2.09,NG,1689824049
240,adam,22.3756,57.5233,31.960000000000036,47,92,1.22,OM,1689824049
241,guapore,-28.8456,-51.8903,12.620000000000005,85,100,2.75,BR,1689824049
242,fort st. john,56.2499,-120.8529,21.939999999999998,60,100,1.54,CA,1689823833
243,south hedland,-20.4089,118.5983,24.960000000000036,38,3,7.2,AU,1689824050
244,gorom-gorom,14.4439,-0.2361,31.400000000000034,50,71,8.25,BF,1689824050
245,general conesa,-40.1,-64.4333,10.04000000000002,56,92,9.2,AR,1689824050
246,duba,27.3513,35.6901,30.310000000000002,49,0,3.48,SA,1689824050
247,el granada,37.5027,-122.4694,20.450000000000045,89,100,8.23,US,1689824050
248,peterhead,57.5058,-1.7981,12.220000000000027,87,43,6.02,GB,1689824050
249,alice town,25.7167,-79.3,30.010000000000048,74,100,6.91,BS,1689824051
250,itoman,26.1247,127.6694,31.430000000000007,74,75,4.12,JP,1689824051
251,mahina,-17.5065,-149.489,23.870000000000005,73,75,8.23,PF,1689824051
252,cassilandia,-19.1133,-51.7342,19.430000000000007,72,0,2.98,BR,1689824051
253,bamboo flat,11.7,92.7167,30.05000000000001,79,100,6.17,IN,1689824051
254,kimbe,-5.5502,150.1429,29.210000000000036,67,67,1.6,PG,1689824052
255,alice springs,-23.7,133.8833,22.75,27,5,2.06,AU,1689823908
256,ikovka,55.6089,64.9375,20.600000000000023,73,19,2.18,RU,1689824052
257,gorontalo,0.5412,123.0595,31.32000000000005,60,19,3.95,ID,1689824052
258,cadale,2.7603,46.3222,24.99000000000001,83,72,8.0,SO,1689824052
259,taoudenni,22.6783,-3.9836,34.860000000000014,9,0,6.27,ML,1689824052
260,kayangel,8.0823,134.7173,28.58000000000004,79,98,11.0,PW,1689824053
261,sandnessjoen,66.0217,12.6316,11.060000000000002,87,20,0.0,NO,1689824053
262,bayanaul,50.7889,75.6956,27.980000000000018,27,40,7.19,KZ,1689824053
263,mbeya,-8.9,33.45,9.970000000000027,86,66,2.03,TZ,1689824053
264,punta cardon,11.6581,-70.215,27.53000000000003,80,12,12.48,VE,1689824053
265,raduzhny,62.0961,77.475,25.700000000000045,40,55,4.73,RU,1689824054
266,likiep,9.8251,169.3107,27.890000000000043,80,99,9.15,MH,1689824054
267,villa gesell,-37.2639,-56.973,8.360000000000014,71,100,6.67,AR,1689824054
268,korla,41.7597,86.1469,35.53000000000003,13,15,3.04,CN,1689824054
269,puebla,18.8333,-98.0,15.960000000000036,79,46,3.78,MX,1689823848
270,la ronge,55.1001,-105.2842,21.120000000000005,56,100,1.03,CA,1689824054
271,wittenberge,53.0,11.75,13.910000000000025,88,50,2.38,DE,1689824055
272,tangalle,6.024,80.7911,31.090000000000032,75,95,6.81,LK,1689824055
273,kapa'a,22.0752,-159.319,30.99000000000001,83,100,8.23,US,1689824055
274,luis correia,-2.8792,-41.6669,24.57000000000005,89,35,4.25,BR,1689824055
275,lasem,-6.6922,111.4527,30.360000000000014,43,3,4.58,ID,1689824055
276,ebon,4.582,168.6964,27.54000000000002,82,66,8.4,MH,1689824056
277,mendi,-6.1761,143.6513,16.350000000000023,90,91,0.97,PG,1689824056
278,galappo,-4.2667,35.85,11.680000000000007,94,15,0.46,TZ,1689824056
